site,flare_site,t0,flag,flag_novel,flag_excess,n_novel
Jubail refinery (SASREF/Aramco),True,2025-11-19,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-11-22,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-11-25,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-11-28,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-01,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-04,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-07,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-10,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-13,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-16,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-19,False,False,False,1
Jubail refinery (SASREF/Aramco),True,2025-12-22,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-25,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-28,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2025-12-31,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-03,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-06,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-09,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-12,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-15,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-18,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-21,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-24,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-27,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-01-30,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-02,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-05,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-08,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-11,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-14,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-17,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-20,False,False,False,0
Jubail refinery (SASREF/Aramco),True,2026-02-23,False,False,False,0
SATORP Jubail,False,2025-11-01,False,False,False,0
SATORP Jubail,False,2025-11-04,False,False,False,0
SATORP Jubail,False,2025-11-07,False,False,False,0
SATORP Jubail,False,2025-11-10,False,False,False,0
SATORP Jubail,False,2025-11-13,False,False,False,0
SATORP Jubail,False,2025-11-16,False,False,False,0
SATORP Jubail,False,2025-11-19,False,False,False,0
SATORP Jubail,False,2025-11-22,False,False,False,0
SATORP Jubail,False,2025-11-25,False,False,False,0
SATORP Jubail,False,2025-11-28,False,False,False,0
SATORP Jubail,False,2025-12-01,False,False,False,0
SATORP Jubail,False,2025-12-04,False,False,False,0
SATORP Jubail,False,2025-12-07,False,False,False,0
SATORP Jubail,False,2025-12-10,False,False,False,0
SATORP Jubail,False,2025-12-13,False,False,False,0
SATORP Jubail,False,2025-12-16,False,False,False,0
SATORP Jubail,False,2025-12-19,False,False,False,0
SATORP Jubail,False,2025-12-22,False,False,False,0
SATORP Jubail,False,2025-12-25,False,False,False,0
SATORP Jubail,False,2025-12-28,False,False,False,0
SATORP Jubail,False,2025-12-31,False,False,False,0
SATORP Jubail,False,2026-01-03,False,False,False,0
SATORP Jubail,False,2026-01-06,False,False,False,0
SATORP Jubail,False,2026-01-09,False,False,False,0
SATORP Jubail,False,2026-01-12,False,False,False,0
SATORP Jubail,False,2026-01-15,False,False,False,0
SATORP Jubail,False,2026-01-18,False,False,False,0
SATORP Jubail,False,2026-01-21,False,False,False,0
SATORP Jubail,False,2026-01-24,False,False,False,0
SATORP Jubail,False,2026-01-27,False,False,False,0
SATORP Jubail,False,2026-01-30,False,False,False,0
SATORP Jubail,False,2026-02-02,False,False,False,0
SATORP Jubail,False,2026-02-05,False,False,False,0
SATORP Jubail,False,2026-02-08,False,False,False,0
SATORP Jubail,False,2026-02-11,False,False,False,0
SATORP Jubail,False,2026-02-14,False,False,False,0
SATORP Jubail,False,2026-02-17,False,False,False,0
SATORP Jubail,False,2026-02-20,False,False,False,0
SATORP Jubail,False,2026-02-23,False,False,False,0
Riyadh refinery,True,2025-11-01,False,False,False,0
Riyadh refinery,True,2025-11-04,False,False,False,0
Riyadh refinery,True,2025-11-07,False,False,False,0
Riyadh refinery,True,2025-11-10,False,False,False,0
Riyadh refinery,True,2025-11-13,False,False,False,0
Riyadh refinery,True,2025-11-16,False,False,False,0
Riyadh refinery,True,2025-11-19,False,False,False,0
Riyadh refinery,True,2025-11-22,False,False,False,0
Riyadh refinery,True,2025-11-25,False,False,False,0
Riyadh refinery,True,2025-11-28,False,False,False,0
Riyadh refinery,True,2025-12-01,False,False,False,0
Riyadh refinery,True,2025-12-04,False,False,False,0
Riyadh refinery,True,2025-12-07,False,False,False,0
Riyadh refinery,True,2025-12-10,False,False,False,0
Riyadh refinery,True,2025-12-13,False,False,False,0
Riyadh refinery,True,2025-12-16,False,False,False,0
Riyadh refinery,True,2025-12-19,False,False,False,0
Riyadh refinery,True,2025-12-22,False,False,False,0
Riyadh refinery,True,2025-12-25,False,False,False,0
Riyadh refinery,True,2025-12-28,False,False,False,0
Riyadh refinery,True,2025-12-31,False,False,False,0
Riyadh refinery,False,2026-01-03,False,False,False,0
Riyadh refinery,False,2026-01-06,False,False,False,0
Riyadh refinery,False,2026-01-09,False,False,False,0
Riyadh refinery,False,2026-01-12,False,False,False,0
Riyadh refinery,False,2026-01-15,False,False,False,0
Riyadh refinery,False,2026-01-18,False,False,False,0
Riyadh refinery,False,2026-01-21,False,False,False,0
Riyadh refinery,False,2026-01-24,False,False,False,0
Riyadh refinery,False,2026-01-27,False,False,False,0
Riyadh refinery,False,2026-01-30,False,False,False,0
Riyadh refinery,False,2026-02-02,False,False,False,0
Riyadh refinery,True,2026-02-05,False,False,False,0
Riyadh refinery,True,2026-02-08,False,False,False,0
Riyadh refinery,True,2026-02-11,False,False,False,0
Riyadh refinery,True,2026-02-14,False,False,False,0
Riyadh refinery,True,2026-02-17,False,False,False,0
Riyadh refinery,True,2026-02-20,False,False,False,0
Riyadh refinery,True,2026-02-23,False,False,False,0
Shaybah,False,2025-11-01,False,False,False,0
Shaybah,False,2025-11-04,False,False,False,0
Shaybah,False,2025-11-07,False,False,False,0
Shaybah,False,2025-11-10,False,False,False,0
Shaybah,False,2025-11-13,False,False,False,0
Shaybah,False,2025-11-16,False,False,False,0
Shaybah,False,2025-11-19,False,False,False,0
Shaybah,False,2025-11-22,False,False,False,0
Shaybah,False,2025-11-25,False,False,False,0
Shaybah,False,2025-11-28,False,False,False,0
Shaybah,False,2025-12-01,False,False,False,0
Shaybah,False,2025-12-04,True,False,True,0
Shaybah,False,2025-12-07,False,False,False,0
Shaybah,False,2025-12-10,False,False,False,0
Shaybah,False,2025-12-13,False,False,False,0
Shaybah,False,2025-12-16,False,False,False,0
Shaybah,False,2025-12-19,False,False,False,0
Shaybah,False,2025-12-22,False,False,False,0
Shaybah,False,2025-12-25,False,False,False,0
Shaybah,False,2025-12-28,False,False,False,0
Shaybah,False,2025-12-31,False,False,False,0
Shaybah,False,2026-01-03,False,False,False,0
Shaybah,False,2026-01-06,False,False,False,0
Shaybah,False,2026-01-09,False,False,False,0
Shaybah,False,2026-01-12,False,False,False,0
Shaybah,False,2026-01-15,False,False,False,0
Shaybah,False,2026-01-18,False,False,False,0
Shaybah,False,2026-01-21,True,True,True,1
Shaybah,False,2026-01-24,False,False,False,0
Shaybah,False,2026-01-27,False,False,False,0
Shaybah,False,2026-01-30,False,False,False,0
Shaybah,False,2026-02-02,False,False,False,0
Shaybah,False,2026-02-05,False,False,False,0
Shaybah,False,2026-02-08,False,False,False,0
Shaybah,False,2026-02-11,False,False,False,0
Shaybah,False,2026-02-14,False,False,False,0
Shaybah,False,2026-02-17,False,False,False,0
Shaybah,False,2026-02-20,False,False,False,0
Shaybah,False,2026-02-23,False,False,False,0
Prince Sultan Air Base,False,2025-11-01,False,False,False,0
Prince Sultan Air Base,False,2025-11-04,False,False,False,0
Prince Sultan Air Base,False,2025-11-07,False,False,False,0
Prince Sultan Air Base,False,2025-11-10,False,False,False,0
Prince Sultan Air Base,False,2025-11-13,False,False,False,0
Prince Sultan Air Base,False,2025-11-16,False,False,False,0
Prince Sultan Air Base,False,2025-11-19,False,False,False,0
Prince Sultan Air Base,False,2025-11-22,False,False,False,0
Prince Sultan Air Base,False,2025-11-25,False,False,False,0
Prince Sultan Air Base,False,2025-11-28,False,False,False,0
Prince Sultan Air Base,False,2025-12-01,False,False,False,0
Prince Sultan Air Base,False,2025-12-04,False,False,False,0
Prince Sultan Air Base,False,2025-12-07,False,False,False,0
Prince Sultan Air Base,False,2025-12-10,False,False,False,0
Prince Sultan Air Base,False,2025-12-13,False,False,False,0
Prince Sultan Air Base,False,2025-12-16,False,False,False,0
Prince Sultan Air Base,False,2025-12-19,False,False,False,0
Prince Sultan Air Base,False,2025-12-22,False,False,False,0
Prince Sultan Air Base,False,2025-12-25,False,False,False,0
Prince Sultan Air Base,False,2025-12-28,False,False,False,0
Prince Sultan Air Base,False,2025-12-31,False,False,False,0
Prince Sultan Air Base,False,2026-01-03,False,False,False,0
Prince Sultan Air Base,False,2026-01-06,False,False,False,0
Prince Sultan Air Base,False,2026-01-09,False,False,False,0
Prince Sultan Air Base,False,2026-01-12,False,False,False,0
Prince Sultan Air Base,False,2026-01-15,False,False,False,0
Prince Sultan Air Base,False,2026-01-18,False,False,False,0
Prince Sultan Air Base,False,2026-01-21,False,False,False,0
Prince Sultan Air Base,False,2026-01-24,False,False,False,0
Prince Sultan Air Base,False,2026-01-27,False,False,False,0
Prince Sultan Air Base,False,2026-01-30,False,False,False,0
Prince Sultan Air Base,False,2026-02-02,False,False,False,0
Prince Sultan Air Base,False,2026-02-05,False,False,False,0
Prince Sultan Air Base,False,2026-02-08,False,False,False,0
Prince Sultan Air Base,False,2026-02-11,False,False,False,0
Prince Sultan Air Base,False,2026-02-14,False,False,False,0
Prince Sultan Air Base,False,2026-02-17,False,False,False,0
Prince Sultan Air Base,False,2026-02-20,False,False,False,0
Prince Sultan Air Base,False,2026-02-23,False,False,False,0
Ruwais refinery,True,2025-11-01,False,False,False,0
Ruwais refinery,True,2025-11-04,False,False,False,0
Ruwais refinery,True,2025-11-07,False,False,False,0
Ruwais refinery,True,2025-11-10,False,False,False,0
Ruwais refinery,True,2025-11-13,False,False,False,0
Ruwais refinery,False,2025-11-16,False,False,False,0
Ruwais refinery,False,2025-11-19,False,False,False,0
Ruwais refinery,False,2025-11-22,False,False,False,0
Ruwais refinery,False,2025-11-25,False,False,False,0
Ruwais refinery,False,2025-11-28,False,False,False,0
Ruwais refinery,False,2025-12-01,False,False,False,0
Ruwais refinery,False,2025-12-04,False,False,False,0
Ruwais refinery,False,2025-12-07,False,False,False,0
Ruwais refinery,False,2025-12-10,False,False,False,0
Ruwais refinery,False,2025-12-13,False,False,False,0
Ruwais refinery,False,2025-12-16,False,False,False,0
Ruwais refinery,False,2025-12-19,False,False,False,0
Ruwais refinery,False,2025-12-22,False,False,False,0
Ruwais refinery,False,2025-12-25,False,False,False,0
Ruwais refinery,False,2025-12-28,False,False,False,0
Ruwais refinery,False,2025-12-31,False,False,False,0
Ruwais refinery,False,2026-01-03,False,False,False,0
Ruwais refinery,False,2026-01-06,False,False,False,0
Ruwais refinery,False,2026-01-09,False,False,False,0
Ruwais refinery,False,2026-01-12,False,False,False,0
Ruwais refinery,False,2026-01-15,False,False,False,0
Ruwais refinery,False,2026-01-18,False,False,False,0
Ruwais refinery,False,2026-01-21,False,False,False,0
Ruwais refinery,False,2026-01-24,False,False,False,0
Ruwais refinery,False,2026-01-27,False,False,False,0
Ruwais refinery,False,2026-01-30,False,False,False,0
Ruwais refinery,False,2026-02-02,False,False,False,0
Ruwais refinery,False,2026-02-05,False,False,False,0
Ruwais refinery,False,2026-02-08,False,False,False,0
Ruwais refinery,False,2026-02-11,False,False,False,0
Ruwais refinery,False,2026-02-14,False,False,False,0
Ruwais refinery,False,2026-02-17,False,False,False,0
Ruwais refinery,False,2026-02-20,False,False,False,0
Ruwais refinery,True,2026-02-23,False,False,False,0
Habshan gas complex,True,2025-11-01,False,False,False,0
Habshan gas complex,True,2025-11-04,False,False,False,0
Habshan gas complex,True,2025-11-07,False,False,False,0
Habshan gas complex,True,2025-11-10,False,False,False,0
Habshan gas complex,True,2025-11-13,False,False,False,0
Habshan gas complex,True,2025-11-16,False,False,False,0
Habshan gas complex,True,2025-11-19,False,False,False,0
Habshan gas complex,True,2025-11-22,False,False,False,0
Habshan gas complex,True,2025-11-25,False,False,False,0
Habshan gas complex,True,2025-11-28,False,False,False,0
Habshan gas complex,True,2025-12-01,False,False,False,0
Habshan gas complex,True,2025-12-04,False,False,False,0
Habshan gas complex,True,2025-12-07,False,False,False,0
Habshan gas complex,True,2025-12-10,False,False,False,0
Habshan gas complex,True,2025-12-13,False,False,False,0
Habshan gas complex,True,2025-12-16,False,False,False,0
Habshan gas complex,True,2025-12-19,False,False,False,0
Habshan gas complex,True,2025-12-22,False,False,False,0
Habshan gas complex,True,2025-12-25,False,False,False,0
Habshan gas complex,True,2025-12-28,False,False,False,0
Habshan gas complex,True,2025-12-31,False,False,False,0
Habshan gas complex,True,2026-01-03,False,False,False,0
Habshan gas complex,True,2026-01-06,False,False,False,0
Habshan gas complex,True,2026-01-09,False,False,False,0
Habshan gas complex,True,2026-01-12,False,False,False,0
Habshan gas complex,True,2026-01-15,False,False,False,0
Habshan gas complex,True,2026-01-18,False,False,False,0
Habshan gas complex,True,2026-01-21,False,False,False,0
Habshan gas complex,True,2026-01-24,False,False,False,0
Habshan gas complex,True,2026-01-27,False,False,False,0
Habshan gas complex,True,2026-01-30,False,False,False,0
Habshan gas complex,True,2026-02-02,False,False,False,0
Habshan gas complex,True,2026-02-05,False,False,False,0
